Sheep_ID,Group,Weight,Vt,Min_vol_6hrs,FiO2_base,FiO2_0hrs,FiO2_1hrs,FiO2_2hrs,FiO2_4hrs,FiO2_6hrs,PEEP_base,PEEP_0hrs,PEEP_1hrs,PEEP_2hrs,PEEP_4hrs,PEEP_6hrs,Pplat_base,Pplat_0hrs,Pplat_1hrs,Pplat_2hrs,Pplat_4hrs,Pplat_6hrs,Cstat_base,Cstat_0hrs,Cstat_1hrs,Cstat_2hrs,Cstat_4hrs,Cstat_6hrs,ETCO2_base,ETCO2_0hrs,ETCO2_1hrs,ETCO2_2hrs,ETCO2_4hrs,ETCO2_6hrs,SpO2_base,SpO2_0hrs,SpO2_1hrs,SpO2_2hrs,SpO2_4hrs,SpO2_6hrs,HR_base,HR_0hrs,HR_1hrs,HR_2hrs,HR_4hrs,HR_6hrs,MAP_base,MAP_0hrs,MAP_1hrs,MAP_2hrs,MAP_4hrs,MAP_6hrs,MPAP_base,MPAP_0hrs,MPAP_1hrs,MPAP_2hrs,MPAP_4hrs,MPAP_6hrs,CVP_base,CVP_0hrs,CVP_1hrs,CVP_2hrs,CVP_4hrs,CVP_6hrs,NAdose_base,NAdose_0hrs,NAdose_1hrs,NAdose_2hrs,NAdose_4hrs,NAdose_6hrs,pH_base,pH_0hrs,pH_1hrs,pH_2hrs,pH_4hrs,pH_6hrs,PaO2_base,PaO2_0hrs,PaO2_1hrs,PaO2_2hrs,PaO2_4hrs,PaO2_6hrs,PaCO2_base,PaCO2_0hrs,PaCO2_1hrs,PaCO2_2hrs,PaCO2_4hrs,PaCO2_6hrs,Bic_base,Bic_0hrs,Bic_1hrs,Bic_2hrs,Bic_4hrs,Bic_6hrs,BE_base,BE_0hrs,BE_1hrs,BE_2hrs,BE_4hrs,BE_6hrs,EF_base,EF_0hrs,EF_1hrs,EF_2hrs,EF_4hrs,EF_6hrs,PF_base,PF_0hrs,PF_1hrs,PF_2hrs,PF_4hrs,PF_6hrs,IL6plasma_base,IL6plasma_0hrs,IL6plasma_1hrs,IL6plasma_2hrs,IL6plasma_4hrs,IL6plasma_6hrs,IL8plasma_base,IL8plasma_0hrs,IL8plasma_1hrs,IL8plasma_2hrs,IL8plasma_4hrs,IL8plasma_6hrs,IL1Bplasma_base,IL1Bplasma_0hrs,IL1Bplasma_1hrs,IL1Bplasma_2hrs,IL1Bplasma_4hrs,IL1Bplasma_6hrs,IL10plasma_base,IL10plasma_0hrs,IL10plasma_1hrs,IL10plasma_2hrs,IL10plasma_4hrs,IL10plasma_6hrs,IL6BAL_base,IL6BAL_0hrs,IL6BAL_1hrs,IL6BAL_2hrs,IL6BAL_6hrs,IL8BAL_base,IL8BAL_0hrs,IL8BAL_1hrs,IL8BAL_2hrs,IL8BAL_6hrs,IL1BBAL_base,IL1BBAL_0hrs,IL1BBAL_1hrs,IL1BBAL_2hrs,IL1BBAL_6hrs,IL10BAL_base,IL10BAL_0hrs,IL10BAL_1hrs,IL10BAL_2hrs,IL10BAL_6hrs,BALTP_6hrs,Hb_base,Hb_0hrs,Hb_1hrs,Hb_2hrs,Hb_4hrs,Hb_6hrs,Hct_base,Hct_0hrs,Hct_1hrs,Hct_2hrs,Hct_4hrs,Hct_6hrs,WCC_base,WCC_0hrs,WCC_1hrs,WCC_2hrs,WCC_4hrs,WCC_6hrs,Neut_base,Neut_0hrs,Neut_1hrs,Neut_2hrs,Neut_4hrs,Neut_6hrs,Mono_base,Mono_0hrs,Mono_1hrs,Mono_2hrs,Mono_4hrs,Mono_6hrs,Lymph_base,Lymph_0hrs,Lymph_1hrs,Lymph_2hrs,Lymph_4hrs,Lymph_6hrs,PT_base,PT_0hrs,PT_1hrs,PT_2hrs,PT_4hrs,PT_6hrs,APTT_base,APTT_0hrs,APTT_1hrs,APTT_2hrs,APTT_4hrs,APTT_6hrs,Na_base,Na_0hrs,Na_1hrs,Na_2hrs,Na_4hrs,Na_6hrs,Cl_base,Cl_0hrs,Cl_1hrs,Cl_2hrs,Cl_4hrs,Cl_6hrs,Ur_base,Ur_0hrs,Ur_1hrs,Ur_2hrs,Ur_4hrs,Ur_6hrs,Cr_base,Cr_0hrs,Cr_1hrs,Cr_2hrs,Cr_4hrs,Cr_6hrs,Glu_base,Glu_0hrs,Glu_1hrs,Glu_2hrs,Glu_4hrs,Glu_6hrs,Alb_base,Alb_0hrs,Alb_1hrs,Alb_2hrs,Alb_4hrs,Alb_6hrs,Bili_base,Bili_0hrs,Bili_1hrs,Bili_2hrs,Bili_4hrs,Bili_6hrs,AST_base,AST_0hrs,AST_1hrs,AST_2hrs,AST_4hrs,AST_6hrs,ALP_base,ALP_0hrs,ALP_1hrs,ALP_2hrs,ALP_4hrs,ALP_6hrs,CK_base,CK_0hrs,CK_1hrs,CK_2hrs,CK_4hrs,CK_6hrs,Fluid_input,Ur_output,Cumulative_balance
1,OA,52,312,9.36,0.3,0.5,1,0.4,0.4,0.35,5,5,10,8,8,8,21,24,24,23,24,22,19,14,20,20,20,20,34,34,35,34,32,33,100,83,94,91,93,94,93,128,155,140,150,148,126,112,116,100,86,80,17,18,23,23,24,17,21,13,21,21,22,15,0.26,0.77,0.05,0.77,0.77,0.77,7.41,7.24,7.27,7.37,7.4,7.43,NA,48,71,66,67,66,37,57,51,39,37,33,23.1,23.8,22.7,22.5,23,23,-0.9,-2.5,-3.2,-2.2,-1.8,-2,NA,45.5,41.8,26.6,25.6,23.5,NA,97,71,166,166,188,312,312,3900,5100,5900,5600,5427,2102,667,369,224,183,70,106,68,68,46,46,917,9861,10130,6083,5093,3409,2448,390,991,780,11522,1951,324,1406,1339,1255,357,1646,802,47,7127,1229,1318,2124,1393,1516,577,129,114,98,107,117,116,0.43,0.38,0.32,0.35,0.37,0.36,4.6,1.9,1.6,1.8,3.1,4.3,1.6,0.8,1.6,1.1,2.2,3.4,0.1,0,0.9,0,0.1,0.1,2.6,1.1,0.7,0.7,0.8,0.8,15.2,14.8,15.9,16.7,16.7,17.6,29,32,29,28,28,29,144,143,142,141,141,142,107,108,110,110,111,110,3,3.1,2.9,2.7,2.6,2.5,0.09,0.08,0.07,0.08,0.08,0.08,5.2,12.5,10,9,6.7,4.9,36,28,25,26,26,25,5,4,5,4,3,4,96,81,75,80,84,80,25,25,19,21,20,19,136,129,120,126,159,246,2.6,0.57,2.03
2,OA,53,318,9.54,0.21,1,1,1,0.8,0.4,5,10,10,12,10,10,16,28,27,29,26,24,31,17,19,19,22,24,33,30,30,29,27,31,92,90,93,89,94,96,138,140,170,164,130,124,127,122,99,100,81,98,20,24,14,18,18,17,17,19,13,17,15,16,0.25,0.25,0,0,0,0,7.39,7.32,7.34,7.36,7.41,7.43,92,67,64,68,136,85,42,47,44,43,40,37,23.8,22.7,22.7,23.6,24.7,24.6,-0.8,-1.4,-1.5,-0.6,0.2,0.1,2.3,42.2,43.1,41.2,25.8,18.3,437,67,64,68,170,214,312,312,3500,5300,6600,4000,2656,878,951,458,213,247,50,61,59,70,25,27,854,11094,13438,6489,3925,3205,312,312,312,NA,312,153,701,1817,NA,NA,47,352,937,NA,445,0,1784,2427,NA,NA,2798,61,87,97,83,79,84,0.22,0.31,0.34,0.31,0.28,0.29,2.6,2.2,1.7,1.2,1.5,2.1,1.1,1,0.9,0.6,0.9,1.4,0.1,0,0,0.1,0,0.1,1.3,1.1,0.7,0.5,0.6,0.6,18.4,17.1,16.8,18.2,19.1,19.3,30,39,34,36,36,35,140,140,140,140,140,140,105,104,104,106,107,107,4.2,4.4,4.6,4.7,4.5,4.6,0.07,0.07,0.07,0.07,0.08,0.08,11.6,7.1,6.4,5.5,4,2.7,24,24,24,20,19,20,2,2,4,4,2,3,50,57,61,56,58,69,61,155,86,79,67,46,204,253,297,284,316,373,2.74,0.45,2.29
3,IV,46,276,8.28,0.28,1,1,1,1,1,5,10,12,12,12,12,21,34,30,28,30,27,24,13,16,18,21,24,45,46,43,44,34,30,99,87,84,92,95,92,108,106,154,153,158,171,111,108,69,84,90,63,20,23,22,22,22,24,19,20,21,22,22,21,0.29,0.29,0.87,0.87,0.29,0.29,7.35,7.13,7.1,7.12,7.25,7.24,101,55,52,83,67,78,39,67,79,70,49,47,21.5,17.5,17,17.8,19.3,18.1,-3.6,-6.3,-6,-6.4,-5.3,-6.8,8.7,51.9,54.8,40.7,43.8,40.2,361,55,52,83,67,78,312,312,1330,6020,25950,30070,2184,284,1035,5944,2306,1376,41,226,102,104,91,128,913,23038,39553,38342,20528,28657,312,312,519,942,25562,79,153,827,1355,9344,353,1108,759,863,778,0,1264,2590,2610,24086,7457,64,95,106,NA,100,103,0.21,0.32,0.35,NA,0.33,0.33,4.1,1.4,0.9,NA,0.7,0.8,2.4,0.3,0.1,NA,0.1,0.2,0.2,0.1,0.1,NA,0,0.1,1.5,1,0.7,NA,0.5,0.5,16.2,17.3,17,NA,20.6,19.2,28,42,38,NA,32,37,141,142,143,NA,145,144,108,100,108,NA,110,109,6.7,6.7,6.9,NA,7,8,0.07,0.07,0.07,NA,0.08,0.1,4.2,11.3,9,NA,4.5,2.5,26,24,25,NA,22,22,2,1,1,NA,2,2,57,66,68,NA,72,83,120,186,137,NA,117,92,100,136,136,NA,192,372,2.85,0.51,2.34
4,IV,52,312,9.36,0.28,0.6,1,1,1,1,5,10,10,10,10,10,17,38,26,27,28,26,21,16,20,19,17,18,42,32,38,38,33,34,100,88,90,88,94,85,139,112,155,146,144,139,135,115,74,73,61,60,16,18,19,20,17,20,NA,NA,NA,NA,NA,NA,0.26,0.26,0.51,0.77,1.03,2.05,7.41,7.32,7.25,7.24,7.3,7.28,129,60,60,76,87,64,40,48,82,56,49,47,24.9,22.6,22.7,20.8,22.1,20.2,0.8,-1.4,-1.1,-3.3,-2.1,-4.3,3.1,36.9,46.9,41,37.6,44,461,100,60,76,87,64,312,700,440,2700,19810,27710,888,220,128,2352,1402,1208,17,29,15,34,17,27,604,3750,18822,61881,22305,27053,2139,598,754,3655,3000,382,393,1712,2018,12012,47,1405,817,561,5748,1137,1606,2448,5956,30352,3738,77,86,88,100,105,105,0.25,0.29,0.3,0.34,0.35,0.36,6.2,3.2,3,1.5,1.6,2.6,2.7,0.7,0.8,0.2,0.3,0.6,0.2,0.1,0.1,0.1,0.2,0.3,3.2,2.3,2,1.2,1.1,1.6,13.9,14.4,14.2,16.3,17.4,19.3,29,43,36,36,34,37,141,141,143,143,144,144,103,104,103,104,105,104,7.9,8.5,8.2,8.4,9.2,10.4,0.07,0.07,0.06,0.06,0.07,0.1,3,3.9,4,2.8,1.4,1.1,29,28,26,21,22,22,2,1,0,0,2,7,81,88,89,92,134,296,208,226,198,222,199,220,122,131,131,131,172,241,2.35,0.54,1.81
5,IV,45,270,8.1,0.28,1,1,1,1,1,5,10,12,14,14,14,17,28,24,31,28,28,27,16,22,17,17,23,42,36,33,36,40,32,100,75,86,83,84,78,139,163,180,147,162,131,146,136,107,97,95,66,21,21,22,24,22,26,20,19,18,21,19,23,0.06,0.06,0.59,0.59,0.3,1.19,7.45,7.31,7.25,7.23,7.12,7.11,121,34,54,54,57,63,37,53,57,60,73,63,25.2,23.4,21,20.6,17.5,15.7,1.5,0.8,-2.4,-2.4,-5.3,-8.9,4.6,61.7,49.6,50,51.6,48.4,432,34,54,54,57,63,312,600,700,6140,19570,21260,645,90,781,4043,1974,1297,8,41,20,34,141,91,1165,1367,24781,21921,22010,25606,312,312,312,4212,1092,101,82,1275,1817,929,47,515,129,254,2708,0,400,2620,4403,24326,7870,82,112,128,136,139,120,0.27,0.38,0.42,0.46,0.46,0.42,6.6,5.8,2.4,1.3,1.9,2,3.2,2.3,0.4,0.1,0.2,0.4,0.1,0.2,0,0,0.1,0.1,3.1,3.3,1.9,1.1,1.6,1.4,14.2,13.3,14.7,16.5,19.2,23,29,32,32,29,31,37,144,143,145,146,149,148,105,105,108,109,111,112,7.1,7.5,6.8,6.6,7.7,8.2,0.07,0.07,0.05,0.06,0.08,0.09,4,8,5.6,11.7,4.5,3.7,27,27,24,21,21,16,2,1,0,2,1,1,87,103,96,99,118,138,127,207,197,176,185,228,171,212,234,224,301,368,1.35,0.48,0.87
6,IT,45,270,8.1,0.26,1,1,1,1,1,5,8,10,10,10,10,19,25,27,26,24,25,22,19,17,18,21,26,47,48,43,49,45,43,99,96,85,92,95,86,95,120,137,150,138,124,85,80,71,90,75,78,19,27,25,28,30,27,7,11,14,14,15,16,0.12,0.3,0.59,0.59,0.59,0.59,7.35,7.22,7.21,7.25,7.32,7.3,84,47,58,66,78,73,48,67,67,63,56,54,24.6,22.1,22.2,23.5,26,23.8,0.5,-0.6,-0.98,0.4,2.5,0,11.2,54.5,48.5,44,39.2,40.9,325,47,58,66,78,73,312,1900,16300,26100,24100,24900,1145,1130,2187,1529,110,698,101,479,227,119,72,43,331,3453,2295,2857,2484,1373,312,NA,1138,2205,23317,547,NA,1929,2176,16872,99,NA,334,305,2567,404,NA,657,999,6382,1446,86,106,101,104,101,86,0.3,0.36,0.34,0.35,0.34,0.3,1.9,1.1,0.8,0.7,0.7,1.1,0.8,0.1,0.2,0.2,0.2,0.5,0,0,0,0,0.1,0,0.9,1,0.6,0.5,0.5,0.5,15,14.2,15.5,15.9,16.7,17.9,37,38,41,39,39,41,142,142,143,143,144,139,104,106,107,107,107,104,8.2,7.9,7.5,7.3,7.4,7.5,0.08,0.07,0.07,0.07,0.09,0.09,3.3,4.3,3.6,2.6,1.6,1.8,26,25,21,21,20,18,2,0,0,2,4,2,64,70,65,70,78,80,124,161,181,187,160,146,136,168,180,231,265,271,0.85,0.85,0
7,OA,59,354,10.62,0.26,1,1,1,1,1,5,10,10,10,10,10,17,36,31,32,30,30,NA,7,9,12,10,10,40,42,44,39,31,28,92,89,55,63,95,91,93,150,185,130,152,137,120,78,68,94,63,54,26,27,23,24,37,31,8,9,12,14,13,18,0.09,0.45,0.23,0.23,0.56,0.9,7.36,7.11,7.06,7.05,7.05,6.92,72,48,42,40,44,39,49,87,92,86,72,23,27.2,26.1,24.8,22.4,19.1,17.1,2.3,-2.5,-4.6,-6.9,-9.8,-13.8,16.5,57.3,62.4,63.7,60.8,65.4,277,48,42,40,44,39,312,312,11700,15700,26600,33900,385,964,2739,1543,1132,1096,131,381,202,227,249,297,1041,6716,6421,6371,6984,6259,312,312,579,2890,42952,460,388,1536,2325,13726,47,591,360,406,4132,0,1278,1489,1993,19142,3988,NA,119,NA,128,131,129,NA,0.34,NA,0.36,0.38,0.4,NA,1.3,NA,1.3,1.5,1.4,NA,0.1,NA,0.2,0.2,0.5,NA,0,NA,0,0,0.1,NA,1.2,NA,1.1,1.2,0.8,NA,16,NA,20.3,23.9,29.5,NA,46,NA,49,49,55,NA,140,NA,140,142,143,NA,107,NA,107,108,109,NA,7,NA,7.5,8,8.2,NA,0.07,NA,0.08,0.1,0.12,NA,11.9,NA,15,8,3.7,NA,20,NA,17,17,15,NA,1,NA,0,1,0,NA,74,NA,81,108,136,NA,185,NA,264,430,433,NA,292,NA,380,546,585,2.44,0.23,2.21
8,IT,52,312,9.36,0.21,1,1,1,1,0.4,5,10,10,10,10,10,14,30,31,29,27,26,36,13,15,16,19,21,37,31,39,38,38,40,98,96,NA,84,96,98,124,150,185,130,152,127,104,78,68,94,73,54,18,26,23,24,37,31,7,8,10,13,13,15,0.1,0.1,0.1,0.15,0.1,0.05,7.49,7.38,7.27,7.31,7.41,7.44,83,46,59,68,108,83,35,44,59,53,42,40,27.4,24,23.2,23.6,26,27.1,3.1,0.5,0,0.1,1.8,3,6.2,50.8,46.9,42.3,33.9,18.8,397,46,59,68,108,207,312,312,2300,5300,7800,7300,929,1128,882,410,276,887,183,179,198,126,101,77,418,3305,3174,2920,854,602,1049,506,506,554,8688,1099,1144,750,1096,12108,132,714,960,149,4438,484,910,650,382,5968,1532,97,112,103,105,101,98,0.28,0.32,0.3,0.32,0.28,0.27,3.9,1.8,1.7,2.4,3.6,5.2,2.2,0.5,0.3,1.3,2,4,0,0,0,0,0.4,0.2,1.7,1.3,1.2,1,1.1,1,14.1,14.2,14.2,14,14.4,14.8,25,27,25,26,22,27,139,140,142,141,141,140,102,102,105,106,105,105,7.3,7.4,7.1,6.9,6.9,6.3,0.07,0.07,0.07,0.07,0.07,0.07,2.1,5.5,2.3,2.1,1.4,1.6,25,25,21,21,21,20,2,2,2,2,3,4,370,554,516,506,465,421,95,123,115,121,115,109,261,211,184,182,170,178,0.53,0.69,-0.17
9,IT,47,282,8.46,0.26,1,1,1,1,1,5,10,10,10,10,10,17,36,31,32,30,30,24,12,16,14,14,15,48,49,52,49,45,41,99,92,88,87,95,95,105,111,119,152,118,100,125,96,110,87,91,72,17,32,38,31,29,21,11,13,19,18,20,20,0,0.28,0.28,0.06,0.06,0.06,7.39,7.29,7.21,7.24,7.32,7.35,102,52,73,71,87,78,43,58,71,62,56,52,25.4,24.3,23,22.7,25.8,26.5,1.1,1.2,-0.2,-0.8,2.5,2.9,6,49.6,42.5,42.4,37.2,38.8,392,52,73,71,87,78,312,312,2700,4300,6400,7700,18015,1919,2071,1411,1010,1104,417,455,361,334,299,324,124,2798,2274,1803,1287,940,423,600,686,878,9956,343,1226,1209,1750,1237,47,2011,1135,464,7628,354,857,756,779,6876,815,79,108,99,103,109,103,0.24,0.34,0.3,0.32,0.32,0.32,3.4,1.6,1,0.9,1.4,2.1,1.4,0.3,0.1,0.1,0.8,1.2,0.2,0,0,0.1,0.5,0.1,1.6,1.3,0.9,0.7,0,0.8,13.8,14.4,14.2,14.6,15.4,14.8,25,27,26,26,27,29,144,142,143,143,143,143,107,108,109,108,108,108,2,4.5,4.2,4,3.9,3.9,0.06,0.06,0.06,0.06,0.07,0.08,2.8,3.9,4.9,3.9,2.7,1.8,25,24,20,20,21,20,2,2,2,2,2,2,109,111,97,111,117,122,62,80,79,62,51,43,392,542,556,655,805,864,0.35,0.63,-0.28
10,OA,59,354,10.62,0.28,1,1,1,1,1,5,10,10,10,10,10,14,26,27,24,23,26,37,21,21,24,25,21,37,21,21,24,25,21,100,71,73,71,80,75,120,86,119,105,137,136,128,109,111,119,111,95,20,15,22,20,16,16,10,11,11,12,12,12,0,0.45,0.45,0.23,0,0,7.44,7.32,7.33,7.31,7.31,7.37,107,52,65,66,68,77,37,46,45,33,49,43,25.3,21.9,22.5,17.3,22.9,24,0.8,-2.3,-1.8,-8.6,-1.1,-0.3,7,48.7,42.8,42.5,42.2,38.8,382,52,65,66,68,77,312,339,930,1679,3379,3677,1036,890,1287,831,1327,553,370,413,336,267,311,243,3927,7792,18090,8230,4302,3388,312,312,312,1006,12782,31,1211,6211,5970,68786,200,2264,1126,241,10998,360,572,2298,1585,14144,1927,80,84,93,84,101,97,0.24,0.24,0.28,0.26,0.3,0.28,4.9,2.2,1.7,1.8,1.8,2.2,2.6,0.5,0.5,0.6,0.9,1.3,0,0.2,0.2,0,0,0.2,2.2,1.5,1.1,1.1,0.8,0.7,14.7,13.7,14.2,15,15.5,16.9,24,23,24,25,25,27,144,141,144,144,145,143,105,106,107,108,109,110,5.4,5.5,5.5,5.2,4.6,4.5,0.06,0.06,0.06,0.06,0.06,0.06,1.9,6,3.5,4.5,3.3,3.3,31,30,29,26,27,26,4,4,4,3,3,3,91,91,94,82,92,94,98,95,92,84,85,79,224,215,230,204,221,305,2.64,0.71,1.93
